billNumber,name,alias1,alias2,alias3,alias4,alias5
第201回国会参法第24号,地方教育行政改革の推進に関する法律案,,,,,
第201回国会参法第25号,国家戦略特別区域法の一部を改正する法律案,,,,,
第201回国会参法第26号,日本たばこ産業株式会社の完全民営化等に関する法律案,,,,,
第201回国会参法第27号,公文書等の管理に関する法律の一部を改正する法律案,,,,,
第201回国会参法第28号,公文書院の設置等による公文書等の管理の適正化の推進に関する法律案,,,,,
第201回国会参法第29号,新型コロナウイルス感染症等の経済活動への影響に対する対策として消費税の税率を当分の間引き下げるために講ずべき措置に関する法律案,,,,,
第201回国会参法第30号,新型コロナウイルス感染症関連支援に係る手続の迅速化に関する法律案,,,,,
第201回国会衆法第25号,新型コロナウイルス感染症等の影響を受けた国民等に対する援助のための日本司法支援センターの業務の特例に関する法律案,,,,,
第201回国会衆法第26号,労働者協同組合法案,,,,,
第201回国会衆法第27号,電子署名及び認証業務に関する法律の一部を改正する法律案,,,,,
第195回国会衆法第4号,公文書等の管理に関する法律の一部を改正する法律案,,,,,
第195回国会衆法第5号,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,,,,,
第195回国会衆法第8号,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第2号,被災者生活再建支援法の一部を改正する法律案,,,,,
第196回国会衆法第4号,東日本大震災復興特別区域法の一部を改正する法律案,,,,,
第196回国会衆法第5号,東日本大震災からの復興の推進のための相続に係る移転促進区域内の土地等の処分の円滑化に関する法律案,,,,,
第196回国会衆法第6号,対象発電用原子炉施設等に係る核原料物質、核燃料物質及び原子炉の規制に関する法律の特例に関する法律案,,,,,
第196回国会衆法第7号,原発廃止・エネルギー転換を実現するための改革基本法案,,,,,
第196回国会衆法第13号,主要農作物種子法案,,,,,
第196回国会衆法第18号,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第19号,国有林野事業に従事する職員の給与等に関する特例法案,,,,,
第196回国会衆法第21号,公文書等の管理に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第22号,会計検査院法及び予算執行職員等の責任に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第23号,畜産経営の安定に関する法律及び独立行政法人農畜産業振興機構法の一部を改正する法律案,,,,,
第196回国会衆法第30号,国家公務員法等の一部を改正する法律案,,,,,
第196回国会衆法第31号,国家公務員の労働関係に関する法律案,,,,,
第196回国会衆法第32号,公務員庁設置法案,,,,,
第196回国会衆法第33号,農業者戸別所得補償法案,,,,,
第196回国会衆法第35号,性暴力被害者の支援に関する法律案,,,,,
第196回国会衆法第37号,民法の一部を改正する法律案,民法（債権法）改正,,,,
第196回国会衆法第38号,介護・障害福祉従事者の人材確保に関する特別措置法案,,,,,
第196回国会衆法第39号,保育等従業者の人材確保のための処遇の改善等に関する特別措置法案,,,,,
第196回国会衆法第42号,日本国憲法の改正手続に関する法律の一部を改正する法律案,,,,,
第196回国会衆法第43号,航空機強取等防止措置に係る体制の強化のための施策の推進に関する法律案,,,,,
第197回国会衆法第2号,政治資金規正法及び租税特別措置法の一部を改正する法律案,,,,,
第197回国会衆法第3号,公職選挙法及び地方自治法の一部を改正する法律案,,,,,
第197回国会衆法第4号,政治資金規正法の一部を改正する法律案,インターネットによる政治資金収支報告書の一元的公表法案,,,,
第197回国会衆法第11号,公文書等の管理の適正化の推進に関する法律案,,,,,
第197回国会衆法第12号,性的指向又は性自認を理由とする差別の解消等の推進に関する法律案,,,,,
第198回国会衆法第6号,天皇の退位等に関する皇室典範特例法の施行の日の翌日以後における平成の元号を用いた法律の表記の取扱い等に関する法律案,,,,,
第198回国会衆法第9号,日本国憲法の改正手続に関する法律の一部を改正する法律案,,,,,
第198回国会衆法第15号,民法の一部を改正する法律案,,,,,
第198回国会衆法第19号,公職の候補者となる労働者の雇用の継続の確保のための立候補休暇に関する法律案,,,,,
第198回国会衆法第20号,青少年自然体験活動等の推進に関する法律案,,,,,
第198回国会衆法第21号,分散型エネルギー利用の促進に関する法律案,,,,,
第198回国会衆法第22号,熱についてエネルギー源としての再生可能エネルギー源及び廃熱の利用を促進する等のためのエネルギーの使用の合理化等に関する法律等の一部を改正する法律案,,,,,
第198回国会衆法第23号,国等によるその設置する施設の省エネルギー・再生可能エネルギー源利用改修の実施等に関する法律案,,,,,
第198回国会衆法第24号,エネルギー協同組合法案,,,,,
第198回国会衆法第25号,国民経済及び国民生活に重大な影響を及ぼすおそれのある通商に係る交渉に関する情報の提供の促進に関する法律案,,,,,
第198回国会衆法第26号,手話言語法案,,,,,
第198回国会衆法第27号,視聴覚障害者等の意思疎通等のための手段の確保の促進に関する法律案,,,,,
第198回国会衆法第28号,多文化共生社会基本法案,,,,,
第198回国会衆法第29号,自動車に係る国民負担の軽減及び道路交通の安全のために講ずべき措置に関する法律案,,,,,
第198回国会衆法第30号,認知症基本法案,,,,,
第198回国会衆法第31号,行政監視院法案,,,,,
第198回国会衆法第32号,国会法の一部を改正する法律案,,,,,
第198回国会衆法第34号,家畜伝染病予防法の一部を改正する法律案,,,,,
第198回国会衆法第35号,出入国管理及び難民認定法の一部を改正する法律案,,,,,
第198回国会衆法第36号,災害弔慰金の支給等に関する法律の一部を改正する法律案,,,,,
第200回国会衆法第5号,独立行政法人大学入試センター法の一部を改正する法律案,,,,,
第200回国会衆法第10号,大学等における修学の支援に関する法律の一部を改正する法律案,,,,,
第201回国会参法第1号,公職選挙法の一部を改正する法律案,,,,,
第201回国会参法第2号,政治資金規正法の一部を改正する法律案,,,,,
第201回国会参法第3号,租税特別措置法の一部を改正する法律案,,,,,
第201回国会参法第4号,政治資金規正法の一部を改正する法律案,,,,,
第201回国会参法第8号,国家公務員の人件費の総額の削減の推進に関する法律案,,,,,
第201回国会参法第9号,大規模災害からの復興に関する法律の一部を改正する法律案,,,,,
第201回国会参法第10号,地方自治法の一部を改正する法律案,,,,,
第201回国会参法第11号,国会における各会派に対する立法事務費の交付に関する法律の一部を改正する法律案,,,,,
第201回国会参法第12号,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,,,,,
第201回国会参法第13号,裁判官弾劾法の一部を改正する法律案,,,,,
第201回国会参法第14号,国会議員の秘書の給与等に関する法律の一部を改正する法律案,,,,,
第201回国会参法第15号,公職選挙法の一部を改正する法律案,,,,,
第201回国会参法第16号,政策金融改革の着実な達成を図るための株式会社商工組合中央金庫法及び株式会社日本政策投資銀行法を廃止する等の法律案,,,,,
